period,start,end,hours,daytime_hours_Kdown_gt_20,mean_T2_C,max_T2_C,mean_apparent_temp_C,max_apparent_temp_C,T2_hours_ge_28C,T2_degree_hours_gt_28C,apparent_hours_ge_28C,apparent_degree_hours_gt_28C,bowen_QH_over_QE,daytime_bowen_QH_over_QE,mean_QN_Wm2,mean_QF_Wm2,mean_QS_Wm2,mean_QH_Wm2,mean_QE_Wm2,daytime_mean_QN_Wm2,daytime_mean_QF_Wm2,daytime_mean_QS_Wm2,daytime_mean_QH_Wm2,daytime_mean_QE_Wm2,daytime_QH_fraction_of_QH_QE_QS,daytime_QE_fraction_of_QH_QE_QS,daytime_QS_fraction_of_QH_QE_QS
pre_heat_hazard,2012-08-14,2012-08-16,72,41,20.838140277777775,24.8622,21.89836440005185,25.761200791651323,0,0.0,0,0.0,3.182463696156874,3.1877112998464185,72.55637222222222,76.71815972222223,10.554277777777779,105.55314027777779,33.167115277777775,154.9384024390244,93.56791707317072,59.23972439024389,144.07089024390245,45.19571463414635,0.5797473676751326,0.18186947095963943,0.23838316136522797
heat_hazard,2012-08-17,2012-08-19,72,42,25.024355555555555,30.4038,26.476740974495623,32.379335958647864,14,18.5469,25,53.11023332787097,2.9092432263298313,3.0401220034401955,123.58385555555554,72.08950972222222,40.61315833333333,115.39519722222222,39.66502222222222,242.34412619047617,86.92396428571429,110.62513095238094,164.52505476190476,54.117911904761904,0.4996689808444633,0.16435820019033412,0.33597281896520265
post_heat_hazard,2012-08-20,2012-08-22,72,41,20.331651388888886,25.4733,21.01179472398622,26.535751261312175,0,0.0,0,0.0,4.045657001197267,4.224269551260197,73.24399861111111,76.58310972222222,11.023888888888889,111.29376527777778,27.509441666666664,156.28023658536586,94.98440975609758,59.91182682926829,154.72514390243902,36.62766829268292,0.6157855896603893,0.1457732709023472,0.23844113943726342
